Table Name,State Code,District code,Tehsil Code,Town Code,Area Name,Total/Rural/Urban,Location of source of drinking water,Total Number of Households,Tapwater from treated source,"Tapwater from
untreated source",Covered well,Uncovered well,Handpump,Tubewell/Borehole,Spring,"River/
Canal","Tank/
Pond/
Lake", Other sources
HH2206,29,0,0,0,STATE  KARNATAKA,Total,Total,"1,31,79,911","54,32,724","32,74,240","1,31,305","10,51,685","7,29,630","21,01,712","42,476","1,07,435","1,24,772","1,83,932"
HH2206,29,0,0,0,STATE  KARNATAKA,Total,Within the premises,"58,59,220","36,33,255","9,25,455","68,784","5,29,326","50,661","6,51,739",NaN,NaN,NaN,NaN
HH2206,29,0,0,0,STATE  KARNATAKA,Total,Near the premises,"49,19,991","13,55,708","18,06,626","32,013","2,63,702","3,23,116","9,26,063","25,037","61,405","52,627","73,694"
HH2206,29,0,0,0,STATE  KARNATAKA,Total,Away,"24,00,700","4,43,761","5,42,159","30,508","2,58,657","3,55,853","5,23,910","17,439","46,030","72,145","1,10,238"
HH2206,29,0,0,0,STATE  KARNATAKA,Rural,Total,"78,64,196","17,97,502","26,34,613","79,637","8,55,626","6,62,370","15,39,109","36,216","86,262","1,06,694","66,167"
HH2206,29,0,0,0,STATE  KARNATAKA,Rural,Within the premises,"20,91,969","7,16,752","6,28,306","30,476","3,81,386","36,808","2,98,241",NaN,NaN,NaN,NaN
HH2206,29,0,0,0,STATE  KARNATAKA,Rural,Near the premises,"38,22,737","7,95,229","15,40,160","25,448","2,36,692","3,00,076","7,95,747","19,384","42,623","40,779","26,599"
HH2206,29,0,0,0,STATE  KARNATAKA,Rural,Away,"19,49,490","2,85,521","4,66,147","23,713","2,37,548","3,25,486","4,45,121","16,832","43,639","65,915","39,568"
HH2206,29,0,0,0,STATE  KARNATAKA,Urban,Total,"53,15,715","36,35,222","6,39,627","51,668","1,96,059","67,260","5,62,603","6,260","21,173","18,078","1,17,765"
HH2206,29,0,0,0,STATE  KARNATAKA,Urban,Within the premises,"37,67,251","29,16,503","2,97,149","38,308","1,47,940","13,853","3,53,498",NaN,NaN,NaN,NaN
HH2206,29,0,0,0,STATE  KARNATAKA,Urban,Near the premises,"10,97,254","5,60,479","2,66,466","6,565","27,010","23,040","1,30,316","5,653","18,782","11,848","47,095"
HH2206,29,0,0,0,STATE  KARNATAKA,Urban,Away,"4,51,210","1,58,240","76,012","6,795","21,109","30,367","78,789",607,"2,391","6,230","70,670"
HH2206,29,555,0,0,District  Belgaum,Total,Total,"9,63,825","3,53,192","1,67,328","14,474","1,24,332","75,729","1,86,601","4,088","24,013","4,006","10,062"
HH2206,29,555,0,0,District  Belgaum,Total,Within the premises,"3,40,306","2,20,980","50,352","6,790","21,598","5,335","35,251",NaN,NaN,NaN,NaN
HH2206,29,555,0,0,District  Belgaum,Total,Near the premises,"3,92,344","99,514","88,714","3,635","52,385","33,519","89,208","2,967","15,816","1,695","4,891"
HH2206,29,555,0,0,District  Belgaum,Total,Away,"2,31,175","32,698","28,262","4,049","50,349","36,875","62,142","1,121","8,197","2,311","5,171"
HH2206,29,555,0,0,District  Belgaum,Rural,Total,"7,08,069","1,69,071","1,49,728","7,880","1,08,655","70,380","1,67,072","3,114","21,520","3,637","7,012"
HH2206,29,555,0,0,District  Belgaum,Rural,Within the premises,"1,71,238","79,964","42,848","1,974","13,971","4,778","27,703",NaN,NaN,NaN,NaN
HH2206,29,555,0,0,District  Belgaum,Rural,Near the premises,"3,30,312","65,964","80,634","2,846","47,793","31,055","81,114","2,063","13,687","1,572","3,584"
HH2206,29,555,0,0,District  Belgaum,Rural,Away,"2,06,519","23,143","26,246","3,060","46,891","34,547","58,255","1,051","7,833","2,065","3,428"
HH2206,29,555,0,0,District  Belgaum,Urban,Total,"2,55,756","1,84,121","17,600","6,594","15,677","5,349","19,529",974,"2,493",369,"3,050"
HH2206,29,555,0,0,District  Belgaum,Urban,Within the premises,"1,69,068","1,41,016","7,504","4,816","7,627",557,"7,548",NaN,NaN,NaN,NaN
HH2206,29,555,0,0,District  Belgaum,Urban,Near the premises,"62,032","33,550","8,080",789,"4,592","2,464","8,094",904,"2,129",123,"1,307"
HH2206,29,555,0,0,District  Belgaum,Urban,Away,"24,656","9,555","2,016",989,"3,458","2,328","3,887",70,364,246,"1,743"
HH2206,29,555,5433,0,SubDistrict  Chikodi,Total,Total,"1,29,153","56,422","20,441","1,769","18,150","4,795","20,169","1,048","4,188",457,"1,714"
HH2206,29,555,5433,0,SubDistrict  Chikodi,Total,Within the premises,"52,495","36,189","8,544",409,"3,078",252,"4,023",NaN,NaN,NaN,NaN
HH2206,29,555,5433,0,SubDistrict  Chikodi,Total,Near the premises,"53,058","15,865","9,860",639,"8,561","2,545","9,962",852,"3,293",369,"1,112"
HH2206,29,555,5433,0,SubDistrict  Chikodi,Total,Away,"23,600","4,368","2,037",721,"6,511","1,998","6,184",196,895,88,602
HH2206,29,555,5433,0,SubDistrict  Chikodi,Rural,Total,"1,03,303","37,210","18,429","1,666","17,266","4,360","17,572",917,"3,915",452,"1,516"
HH2206,29,555,5433,0,SubDistrict  Chikodi,Rural,Within the premises,"37,221","22,633","7,921",376,"2,970",221,"3,100",NaN,NaN,NaN,NaN
HH2206,29,555,5433,0,SubDistrict  Chikodi,Rural,Near the premises,"45,279","11,470","8,801",622,"8,122","2,248","8,839",723,"3,065",367,"1,022"
HH2206,29,555,5433,0,SubDistrict  Chikodi,Rural,Away,"20,803","3,107","1,707",668,"6,174","1,891","5,633",194,850,85,494
HH2206,29,555,5433,0,SubDistrict  Chikodi,Urban,Total,"25,850","19,212","2,012",103,884,435,"2,597",131,273,5,198
HH2206,29,555,5433,0,SubDistrict  Chikodi,Urban,Within the premises,"15,274","13,556",623,33,108,31,923,NaN,NaN,NaN,NaN
HH2206,29,555,5433,0,SubDistrict  Chikodi,Urban,Near the premises,"7,779","4,395","1,059",17,439,297,"1,123",129,228,2,90
HH2206,29,555,5433,0,SubDistrict  Chikodi,Urban,Away,"2,797","1,261",330,53,337,107,551,2,45,3,108
HH2206,29,555,5433,803021,Nipani  (CMC),Urban,Total,"13,449","12,356",779,53,96,26,92,10,NaN,3,34
HH2206,29,555,5433,803021,Nipani  (CMC),Urban,Within the premises,"10,087","9,811",164,25,36,11,40,NaN,NaN,NaN,NaN
HH2206,29,555,5433,803021,Nipani  (CMC),Urban,Near the premises,"2,730","2,104",505,8,40,6,41,8,NaN,1,17
HH2206,29,555,5433,803021,Nipani  (CMC),Urban,Away,632,441,110,20,20,9,11,2,NaN,2,17
